District,State,cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
01,Tennessee,N00046688,Diana Harshbarger (R),2126945.6,1869099.77,222800.0,359728.5,1461293.0,83124.1,257845.83,315489.1,44239.4,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,74.79,W,O,,,2020-08-06 00:00:00 +0000,    ,0,2,N
01,Tennessee,N00046686,Blair Nicole Walsingham (D),140209.14,134994.55,1520.0,138689.14,0.0,0.0,5214.59,70085.2,68603.94,2020-10-14 00:00:00 +0000,2021-04-01 00:00:00 +0000,22.39,L,O,,,2020-08-06 00:00:00 +0000,    ,0,2,N
01,Tennessee,N00047760,Steve Holder (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,O,,,2020-08-06 00:00:00 +0000,,0,2,N
02,Tennessee,N00041594,Tim Burchett (R),1336275.75,878487.63,269535.0,1072845.61,0.0,-6104.86,593677.72,729831.26,343014.35,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,67.68,W,I,,,2020-08-06 00:00:00 +0000,TN02,0,1,N
02,Tennessee,N00041699,Renee Hoyos (D),812783.86,816793.15,3100.0,807459.01,0.0,2224.85,209.82,807459.01,0.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,31.02,L,C,,,2020-08-06 00:00:00 +0000,    ,0,2,N
02,Tennessee,N00047761,Matthew Campbell (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,,,2020-08-06 00:00:00 +0000,,0,2,N
03,Tennessee,N00030815,Chuck Fleischmann (R),1051653.39,381411.2,453858.46,603344.93,0.0,-5550.0,1880341.32,599059.93,4285.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,67.32,W,I,,,2020-08-06 00:00:00 +0000,TN03,0,1,N
03,Tennessee,N00046911,Meg Gorman (D),85843.20999999999,77759.83,2671.6,81271.61,2000.0,-100.0,8083.38,50245.2,31026.41,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,30.49,L,C,,,2020-08-06 00:00:00 +0000,    ,0,2,N
03,Tennessee,N00046589,Nancy Baxley (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,,,2020-08-06 00:00:00 +0000,,0,2,N
03,Tennessee,N00047762,Amber Hysell (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,,,2020-08-06 00:00:00 +0000,,0,2,N
03,Tennessee,N00047763,Keith Douglas Sweitzer (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,,,2020-08-06 00:00:00 +0000,,0,2,N
04,Tennessee,N00030957,Scott Desjarlais (R),331464.0,392499.01,124249.0,207465.0,0.0,-250.0,302649.35,204598.0,2867.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,66.68,W,I,,,2020-08-06 00:00:00 +0000,TN04,0,1,N
04,Tennessee,N00043460,Christopher Hale (D),308730.75,302995.83,2697.53,280409.05,30042.32,-4418.15,5734.92,102068.6,178340.45,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,33.32,L,C,,,2020-08-06 00:00:00 +0000,    ,0,2,N
05,Tennessee,N00003132,Jim Cooper (D),936569.0,1332130.98,430750.0,508289.15,0.0,-2470.15,272934.31,470361.8,37927.35,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,100.0,W,I,,,2020-08-06 00:00:00 +0000,TN05,0,1,N
05,Tennessee,N00046044,Craig Wildenradt (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,,,2020-08-06 00:00:00 +0000,,0,2,N
06,Tennessee,N00041599,John Rose (R),1050428.96,625687.5399999999,417700.0,584744.0,463915.17,-415930.21,454374.98,575870.0,8874.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,73.69,W,I,,,2020-08-06 00:00:00 +0000,TN06,0,1,N
06,Tennessee,N00043533,Chris Finley (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,,,2020-08-06 00:00:00 +0000,,0,2,N
06,Tennessee,N00041188,Christopher Monday (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,,,2020-08-06 00:00:00 +0000,,0,2,N
07,Tennessee,N00041873,Mark Green (R),1194960.47,935486.67,171900.0,819151.42,0.0,203909.05,287888.55,819151.42,0.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,69.93,W,I,,,2020-08-06 00:00:00 +0000,TN07,0,1,N
07,Tennessee,N00045536,Kiran Sreepada (D),206644.28,207190.98,4000.0,202644.28,0.0,0.0,0.0,179129.75,23514.53,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,27.33,L,C,,,2020-08-06 00:00:00 +0000,    ,0,2,N
07,Tennessee,N00047077,Ronald Brown (I),1750.0,0.0,0.0,1750.0,0.0,0.0,9006.0,300.0,1450.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,2.17,L,C,,,2020-08-06 00:00:00 +0000,    ,0,2,N
07,Tennessee,N00046592,Scott Vieira Jr (I),655.47,1048.51,10.0,45.0,35.0,565.47,-196.52,0.0,45.0,2020-10-14 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.57,L,C,,,2020-08-06 00:00:00 +0000,    ,0,2,N
07,Tennessee,N00045535,Benjamin Estes (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,,,2020-08-06 00:00:00 +0000,,0,2,N
08,Tennessee,N00025445,David Kustoff (R),1641216.54,999284.67,693750.0,1017499.01,0.0,-70032.47,713832.23,990617.09,26881.92,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,68.51,W,I,,,2020-08-06 00:00:00 +0000,TN08,0,1,N
08,Tennessee,N00039845,Erika Stotts Pearson (D),19069.58,15882.91,152.0,13199.88,5717.7,0.0,4137.34,11700.0,1499.88,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,29.45,L,C,,,2020-08-06 00:00:00 +0000,    ,0,2,N
08,Tennessee,N00047764,Jon Dillard (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,,,2020-08-06 00:00:00 +0000,,0,2,N
09,Tennessee,N00003225,Steve Cohen (D),607570.38,457311.46,409087.34,195151.33,0.0,3331.71,1216118.85,179222.09,15929.24,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,77.35,W,I,,,2020-08-06 00:00:00 +0000,TN09,0,1,N
09,Tennessee,N00032405,Charlotte Bergmann (R),99146.77,100531.99,823.96,43997.68,48825.13,5500.0,2565.82,35224.18,8773.5,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,20.11,L,C,,,2020-08-06 00:00:00 +0000,    ,0,2,N
09,Tennessee,N00047364,Dennis Clark (I),9990.83,9919.03,0.0,402.0,9488.83,100.0,39.8,125.0,75.0,2020-11-23 00:00:00 +0000,2021-04-01 00:00:00 +0000,1.63,L,C,,,2020-08-06 00:00:00 +0000,    ,0,2,N
09,Tennessee,N00046862,Bobby Lyons (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,,,2020-08-06 00:00:00 +0000,,0,2,N
